Title,Year,Citações,Academi,Eng. Village,IEE,ScienceDirect,Selecionados,Observação
Innovation model in education and in tax simulation practices and economic and financial analysis in companies/Modelo de inovacao no ensino e em praticas de simulacao tributaria e analise economica e financeira em empresas/Modelo de innovacionenla ensenanza y en practicas de simulacion tributaria y analisis economico y financiero en empresas.,2015,1,X,X,X,X,,
Engineering the Requirements of Data Warehouses: A Comparative Study of Goal-Oriented Approaches,2015,1,X,-,-,-,,
Diretrizes metodológicas e validação estatística de dados para a construção de data warehouses,2014,1,X,-,-,-,,
Requirements driven data warehouse design: We can go further,2014,1,-,X,-,-,Sim,"Indicação Prof.Julio Leite, estava na lista"
Utilização de metodologias orientadas a processos na implementação de sistemas de business intelligence: aplicação na área da saúde,2013,1,X,-,-,-,,
Um plano de métricas para monitoramento de projetos scrum,2013,1,X,-,-,-,,
Health economic evaluation in a local level government health care system/Avaliacao economica em Saude na esfera de atencao local a saude.,2009,1,X,-,-,-,,
Utilizando a Metodologia Enterprise Knowledge Development no Processo de Desenvolvimento de Sistemas de Apoio à Decisão,2008,1,X,-,-,-,,
Processos de geração de informações de qualidade para o apoio a decisão executiva,2007,1,X,-,-,-,,
"Análise, projeto e implementação de um esquema MOLAP de data warehouse utilizando o SGBD-OR Oracle 8i.",2002,1,X,-,-,-,,
Melhoria do processo de migração e digitalização na adoção de um software inteligente de gestão da manutenção,2023,0,X,-,-,-,Sim,
Um estudo da maturidade em gestão de dados em um órgão público de trânsito,2023,0,X,-,-,-,Sim,
A Influência do Professor Ricardo Falbo na Formação de Docentes do Instituto Federal do Espírito Santo,2023,0,X,-,-,-,Apoio,
Data science na prática: transformando problemas de negócio em soluções de dados,2022,0,X,-,-,-,Sim,
Interoperabilidade entre Ambientes IIoT e B2B através de Data Spaces Industriais: O Caso do Cluster do Calçado,2022,0,X,-,-,-,,
Automatic Data Warehouse Generation Model from BI Requirements in Natural Language,2022,0,-,X,-,-,,
Diagnóstico da inovação aberta entre as instituições de pesquisa e as empresas no cenário brasileiro,2021,0,X,-,-,-,,
Avaliaçao de Técnicas de Engenharia de Requisitos e de Interaçao Humano-Computador no Processo de Produçao de Aplicaçoes de Business Intelligence,2021,0,X,-,-,-,Sim,
Ferramenta de análise do desempenho de uma solução de monitoramento de processo agrícola sucroalcooleiro,2020,0,X,-,-,-,,
Utilização do processo de pensamento da teroria das restrições para proposta de melhoria no setor de business intelligence em um empresa de TI,2020,0,X,-,-,-,,
Implementação de um sistema de Business Intelligence para o suporte à tomada de decisão de um setor de produção,2020,0,X,-,-,-,,
Requirements Imprecision of Data Warehouse Design Fuzzy Ontology-Based Approach - Fuzzy Connector Case,2020,0,-,X,-,-,,
UM FRAMEWORK ALGÉBRICO PARA WORKFLOWS DE ANÁLISE DE DADOS EM APACHE SPARK,2019,0,X,-,-,-,,
Uso de Dashboards de performance para tomada de decisão estratégica: uma aplicação em uma organização do Ramo Ótico,2019,0,X,-,-,-,,
Desenvolvimento de uma solução de BI para empresa de consórcios: o caso da Conceito Consórcios,2019,0,X,-,-,-,,
PREOrg: um guia para elicitação de requisitos orientado ao desempenho organizacional,2018,0,X,-,-,-,,
Um plano de métricas para monitoramento de projeto Scrum,2017,0,X,-,-,-,,
"Práticas, técnicas e ferramentas de gestão do conhecimento para a definição de requisitos de software: um estudo de caso no Laboratório Bridge",2017,0,X,-,-,-,,
"Big Data: fundamentos, metodologias e tecnologias",2017,0,X,-,-,-,,
Gathering formalized information requirements of a data warehouse,2017,0,-,X,-,-,,
SCRUM PARA DESENVOLVIMENTO DE PROJETOS DE BUSINESS INTELLIGENCE,2016,0,X,-,-,-,,
Outcomes of the 13th CONTECSI USP--International Conference on Information Systems and Technology Management/Resultados do 13 CONTECSI USP--Congresso Internacional de Gestao da Tecnologia e Sistemas de Informacao; 36th WCARS--World Continuous Auditing and Reporting Systems Symposium; 2 TOI ECA USP--2 Congresso Internacional em Tecnologia e Organizacao da Informacao; 2nd Gaesi Poli USP--International IT meeting.,2016,0,X,X,X,X,,
Geração de testes de aceitação a partir de modelos U2TP para sistemas web,2015,0,X,-,-,-,,
ALSMon: sistema para monitorizar ALS,2015,0,X,-,-,-,,
"An integrated strategy based in processes, requirements, measurement and evaluation for the formalization of necessities in data warehouse projects",2015,0,-,X,X,-,,
Validation of data warehouse requirements - Model traceability metrics using a formal framework,2015,0,-,X,X,-,,
Handling evolving data warehouse requirements,2015,0,-,X,-,-,,
Sistema de BI para análise de tickets de atendimento,2014,0,X,-,-,-,,
REP-BIP: um processo de elicitação de requisitos para projetos de Business Intelligence,2014,0,X,-,-,-,,
SysPRE: systematized process for requirements engineering in knowledge discovery projects,2014,0,X,-,-,-,,
Aferiçao da Qualidade do Código-Fonte com apoio de um ambiente de Data Warehousing na gestao de contrato ágil: um estudo de caso preliminar em uma autarquia da Administraçao Publica Federal,2014,0,X,-,-,-,,
Proposta de implantação de indicadores de desempenho como auxílio à tomada de decisões da área de projetos de uma empresa de TI,2013,0,X,-,-,-,,
Alexandre Xavier Dias Gonçalves,2013,0,X,-,-,-,,
"Uma proposta de coleta e visualização de métricas de custo, tamanho e esforço, em projetos de software ágeis, com apoio de ferramenta Data Warehousing",2013,0,X,-,-,-,,
Deriving the conceptual model of a data warehouse from information requirements,2013,0,-,X,-,-,,
Aprendizado semissupervisionado aplicado ao problema de valores ausentes,2012,0,X,-,-,-,,
Using ontologies and requirements for constructing and optimizing data warehouses,2012,0,-,-,X,-,,
Uso de práticas ágeis em projetos de Data Mart,2011,0,X,-,-,-,,
"Dados, Informação, Conhecimento, o Business Intelligence e as suas motivações",2011,0,X,-,-,-,,
Eliciting and connecting information requirements: A study of brokering situations in data warehouse development,2011,0,-,X,-,-,,
Categoria Profissionais 3º Lugar: Sistemas de informações orientados a gestão de custos no setor público: especificação e requisitos funcionais para uma prefeitura,2010,0,X,-,-,-,,
BAM framework for OMS using open source technologies,2010,0,X,-,-,-,,
Heurísticas para Identificação de Requisitos de Data Warehouse a partir de Indicadores de Desempenho,2009,0,X,-,-,-,,
Business intelligence: um caso prático,2009,0,X,-,-,-,,
Information Management as Aspect Requirements in Data Warehouse,2009,0,-,X,X,-,,
Extended method for transforming requirements to conceptual model of a data warehouse,2009,0,-,X,-,-,,
RAMEPS: A requirements analysis method for Extracting-Transformation- Loading (ETL) processes in data warehouse systems,2009,0,-,X,-,-,,
Defining business requirements as concerns in data warehouse,2009,0,-,-,X,-,,
ILUSTRANDO REQUISITOS NÃO FUNCIONAIS DE USABILIDADE PARA FERRAMENTAS DE ANÁLISE MULTIDIMENSIONAL,2008,0,X,-,-,-,,
Análise exploratória de dados: estudo de caso da rede de restaurantes Miyoshi,2008,0,X,-,-,-,,
MeGIQ-Metodologia de Geração de Informações de Qualidade para Apoio à Tomada de Decisão Executiva,2007,0,X,-,-,-,,
Aplicação do modelo fábrica de software CMMI especializado em data warehouse com técnicas de heurísticas para a definição de soluções,2007,0,X,-,-,-,,
Práticas Participativas na Elicitação de Requisitos para Database Marketing,2006,0,X,-,-,-,,
Metodologia para desenvolvimento de soluções em mineração de dados: Um estudo prático em diagnóstico de falhas,2005,0,X,-,-,-,,
Proposta para documentação de requisitos em projetos de Data Warehouse,2004,0,X,-,-,-,,
Total Artigos,,,102,34,27,6,,
Total Artigos após retirada de duplicidades,,,102,11,3,0,35,
