Title,Authors,Publication,Volume,Number,Pages,Year,Publisher,Citações,Selecionados
Requirement analysis in data warehouses to support external information,"Chouder, Mohamed Lamine; Chalal, Rachid; Setra, Waffa; ","Computer Science and Its Applications: 5th IFIP TC 5 International Conference, CIIA 2015, Saida, Algeria, May 20-21, 2015, Proceedings 5",,,243-253,2015,Springer,5,
"Dados, Informação, Conhecimento, o Business Intelligence e as suas motivações","Correia, André Ramos Jorge; ",,,,,2011,Faculdade de Ciências e Tecnologia,0,
Técnicas de aquisição de conhecimento na coleta de requisitos na modelagem de um banco data warehouse,"Correia, Rafael Luciano Gonçalves; ",,,,,2017,Universidade Tecnológica Federal do Paraná,2,Sim
A gestão da qualidade dos dados em ambientes de data warehousing na prossecução da excelência da informação,"Costa, Alexandre Manuel Pereira Mendes da; ",,,,,2006,,10,Sim
Metodologia para desenvolvimento de soluções em mineração de dados: Um estudo prático em diagnóstico de falhas,"CUNHA, Rodrigo Carneiro Leão Vieira da; ",,,,,2005,Universidade Federal de Pernambuco,0,
Sistema de BI para análise de tickets de atendimento,"Cunha, Thiago Miranda da; ",Ciência da Computação-Pedra Branca,,,,2014,,0,
FERRAMENTAS DE BI PARA INTELIGÊNCIA COMPETITIVA,"DA SILVA, LUCAS JOSÉ HARMATIUK; ",,,,,,,0,
Innovation model in education and in tax simulation practices and economic and financial analysis in companies/Modelo de inovacao no ensino e em praticas de simulacao tributaria e analise economica e financeira em empresas/Modelo de innovacionenla ensenanza y en practicas de simulacion tributaria y analisis economico y financiero en empresas.,"de Andrade Ramalho, Licia Felix; Abrantes, Luiz Antonio; Ferreira, Marco Aurelio Marques; Ramalho, Benicio Jose; ",Revista de Gestao USP,,,473-493,2015,"Faculdade de Economia, Administracao e Contabilidade-FEA-USP",1,
Heurísticas para Identificação de Requisitos de Data Warehouse a partir de Indicadores de Desempenho,"de Carvalho, Elaine Alves; ",,,,,2009,PUC-Rio,0,
MeGIQ-Metodologia de Geração de Informações de Qualidade para Apoio à Tomada de Decisão Executiva,"de Vasconcellos Carneiro Campello, Antonio; ",,,,,2007,Universidade Federal de Pernambuco,0,
GÍZIA DIELLE LEITE LAMA,"DE, PROCESSO PARA A AVALIAÇÃO; ",,,,,,,0,
Uma metodologia para desenvolvimento da data warehouse e estudo de caso,"Dill, Sérgio Luis; ",,,,,2002,"Florianópolis, SC",2,
Uma metodologia para desenvolvimento de Data Warehouse,"Dill, Sergio Luis; de Abreu, Aline França; Padoin, Edson Luis; Kelm, Martinho Luis; ",Anais do II Simpósio Brasileiro de Sistemas de Informação,,,135-142,2005,SBC,2,Sim
Práticas Participativas na Elicitação de Requisitos para Database Marketing,"dos Santos, Fernanda Regina Benhami; ",,,,,2006,,0,
Artefatos da semiótica organizacional na elicitação de requisitos para soluções de data warehouse,"FARIA, João Marcos Bonadio de; ","Trabalho final (mestrado profissional)-Universidade Estadual de Campinas, Instituto de Computação",,,,2006,,5,
Melhoria do processo de migração e digitalização na adoção de um software inteligente de gestão da manutenção,"Faria, Sara Maria Martins; ",,,,,2023,,0,Sim
Storytelling de dados: contando histórias com Dashboards,"Farias, Eduardo; ",Sistemas de Informação-Pedra Branca,,,,2020,,1,
Geração de testes de aceitação a partir de modelos U2TP para sistemas web,"Feller, Nadjia Jandt; ",,,,,2015,,0,
UM FRAMEWORK ALGÉBRICO PARA WORKFLOWS DE ANÁLISE DE DADOS EM APACHE SPARK,"Ferreira, João Antonio; ",,,,,2019,,0,
Data Warehouse na prática: fundamentos e implantação,"Ferreira, Rafael Gastão Coimbra; ",,,,,2002,,5,Apoio
Proposta de implantação de indicadores de desempenho como auxílio à tomada de decisões da área de projetos de uma empresa de TI,"Filappi, Élen; ",,,,,2013,Universidade do Vale do Rio dos Sinos,0,
Implementação de soluções de Business Process Management no sector bancário e segurador,"Flório, Jorge Manuel Ribeiro de Sá; ",,,,,2013,,2,
Processos de geração de informações de qualidade para o apoio a decisão executiva,"Fonseca, Décio; Campello, Antonio de Vasconcellos Carneiro; Dornelas, Jairo Simião; ",GESTÃO. Org,5,1,66-82,2007,Universidade Federal de Pernambuco,1,
Uso de Metodologias de Desenvolvimento de Software e de Engenharia de Requisitos em empresas de Tecnologia: um estudo a partir de um Survey,"Fontoura, Fernanda Chacon; ",,,,,2019,Universidade Federal do Rio Grande do Norte,2,Sim
Business intelligence: um caso prático,"Francisco, Vera Sofia Moreira; ",,,,,2009,,0,
Requirements engineering for data warehousing,"Frendi, Mohamed; Salinesi, Camille; ",Proceedings of Workshop on REFSQ,,,75-82,2003,Citeseer,27,Sim
Aprendizado semissupervisionado aplicado ao problema de valores ausentes,"Ghinozzi, Glauder Guimarães; ",,,,,2012,,0,
Utilização do processo de pensamento da teroria das restrições para proposta de melhoria no setor de business intelligence em um empresa de TI,"Gottschefsky, Bruno Gomes; ",,,,,2020,,0,
ALSMon: sistema para monitorizar ALS,"Grigoras, Vasile; ",,,,,2015,Instituto Superior de Engenharia de Lisboa,0,
Um plano de métricas para monitoramento de projeto Scrum,"Ishizawa, Mariana Cardoso da Silva; ",,,,,2017,Faculdades IDAAM,0,
A novel requirements engineering approach for designing data warehouses,"Kumar, Manoj; Gosain, Anjana; Singh, Yogesh; ",International Journal of System Assurance Engineering and Management,7,,205-221,2016,Springer,4,Sim
Agent oriented requirements engineering for a data warehouse,"Kumar, Manoj; Gosain, Anjana; Singh, Yogesh; ",ACM SIGSOFT Software Engineering Notes,34,5,1-4,2009,"ACM New York, NY, USA",9,Sim
On completeness and traceability metrics for data warehouse requirements engineering,"Kumar, Manoj; Gosain, Anjana; Singh, Yogesh; ",International Journal of Computational Systems Engineering,1,4,229-237,2013,Inderscience Publishers Ltd,7,Sim
Quality-oriented requirements engineering approach for data warehouse,"Kumar, Manoj; Gosain, Anjana; Singh, Yogesh; ",International Journal of Computational Systems Engineering,1,2,127-138,2012,Inderscience Publishers Ltd,5,Sim
Quality-oriented requirements engineering for a data warehouse,"Kumar, Manoj; Gosain, Anjana; Singh, Yogesh; ",ACM SIGSOFT Software Engineering Notes,36,5,1-4,2011,"ACM New York, NY, USA",9,Sim
Stakeholders driven requirements engineering approach for data warehouse development,"Kumar, Manoj; Gosain, Anjana; Singh, Yogesh; ",Journal of information processing systems,6,3,385-402,2010,Korea Information Processing Society,26,Sim
Análise exploratória de dados: estudo de caso da rede de restaurantes Miyoshi,"Lemes, Cássius Henrique; Souza, Victor Almeida de; ",Sistemas de Informação-Pedra Branca,,,,2008,,0,
"Validação de decisor, um sistema de apoio à decisão multicriterial para mapear processos decisórios","Löbler, Mauri Leodir; Hoppen, Norberto; ",REAd-Revista Eletrônica de Administração,12,1,182-210,2006,Universidade Federal do Rio Grande do Sul,6,
Análise e Gestão de Requisitos de Software Onde nascem os sistemas,"Machado, Felipe Nery Rodrigues; ",,,,,2018,Saraiva Educação SA,42,Sim
Big Data O Futuro dos Dados e Aplicações,"MACHADO, FELIPE NERY RODRIGUES; ",,,,,2018,Saraiva Educação SA,44,Sim
Categoria Profissionais 3º Lugar: Sistemas de informações orientados a gestão de custos no setor público: especificação e requisitos funcionais para uma prefeitura,"Martinez, Antonio Lopo; ",,,,,2010,Esaf,0,
"Práticas, técnicas e ferramentas de gestão do conhecimento para a definição de requisitos de software: um estudo de caso no Laboratório Bridge","Martins, Raphael; ",,,,,2017,"Florianópolis, SC",0,
An Agent Oriented Approach of Requirement Engineering in Developing a Data Ware Houses for Banking System,"Mathur, Sandeep; Sharma, Girish; Soni, AK; ",International Journal of Computer Applications,70,16,,2013,Citeseer,4,
Requirement elicitation techniques for data warehouse review paper,"Mathur, Sandeep; Sharma, Girish; Soni, AK; ",International Journal of Emerging Technology and Advanced Engineering,2,11,456-459,2012,,8,Sim
REP-BIP: um processo de elicitação de requisitos para projetos de Business Intelligence,"MENÉNDEZ, Danielle Amaral; ",,,,,2014,Universidade Salvador,0,
Utilização de metodologias orientadas a processos na implementação de sistemas de business intelligence: aplicação na área da saúde,"Miranda, João Manuel Gonçalves; ",,,,,2013,,1,
Aplicação do modelo fábrica de software CMMI especializado em data warehouse com técnicas de heurísticas para a definição de soluções,"Montini, Denis Ávila; Paulista, Av; Marcondes, Francisco Supino; Dias, Luiz Alberto Vieira; Eduardo, Praça Marechal; da Cunha, Adilson Marques; ",,,,,2007,,0,
Data science na prática: transformando problemas de negócio em soluções de dados,"Moro, Thiago Rangel Dal; ",,,,,2022,,0,Sim
Um estudo da maturidade em gestão de dados em um órgão público de trânsito,"NASCIMENTO, Bruno Artagoitia Vicente do; ",,,,,2023,,0,Sim
"Análise, projeto e implementação de um esquema MOLAP de data warehouse utilizando o SGBD-OR Oracle 8i.","NERI, Hilmer Rodrigues; ",,,,,2002,Universidade Federal de Campina Grande,1,
SysPRE: systematized process for requirements engineering in knowledge discovery projects,"Neto, Ana Beatriz da Palma Rodrigues; ",,,,,2014,,0,
SCRUM PARA DESENVOLVIMENTO DE PROJETOS DE BUSINESS INTELLIGENCE,"Orth, Lucas; Dalfovo, Oscar; ",,,,,,,0,
Uso de Dashboards de performance para tomada de decisão estratégica: uma aplicação em uma organização do Ramo Ótico,"Pacheco, Pedro Henrique Maciel Targino; ",,,,,2019,Universidade Federal do Rio Grande do Norte,0,
Towards a methodology for requirements analysis of data warehouse systems,"Paim, Fábio Rilston Silva; Carvalho, Ana Elizabete; de Castro, Jaelson Brelaz; ",Anais do XVI Simpósio Brasileiro de Engenharia de Software,,,146-161,2002,SBC,22,Sim
Enhancing Data Warehouse Design with the NFR Framework.,"Paim, Fábio Rilston Silva; Castro, Jaelson; ",Wer,2,,40-57,2002,,33,Sim
CURSO SUPERIOR DE TECNOLOGIA EM BANCO DE DADOS,"PEDAGÓGICO, PROJETO; ",,,,,,,0,
BAM framework for OMS using open source technologies,"Pereira, João Pedro Gonçalves; ",,,,,2010,,0,
Interoperabilidade entre Ambientes IIoT e B2B através de Data Spaces Industriais: O Caso do Cluster do Calçado,"Pinto, Pedro Luís Rangel; ",,,,,2022,,0,Sim
Uma linha de processo de software para elicitação de requisitos baseada na criatividade combinacional,"Pinto, Rafael de Morais; ",,,,,2016,Brasil,1,
Eliciting Information Requirements for DW Systems.,"Prakash, Deepika; ",CAiSE (Doctoral Consortium),,,,2016,,3,Sim
Data warehouse requirements engineering: an emerging discipline,"Prakash, Deepika; Gupta, Daya; ",International Journal of Business Information Systems,23,2,194-211,2016,Inderscience Publishers (IEL),2,Sim
Data Warehouse Requirements Engineering,"Prakash, Deepika; Prakash, Naveen; ",,,,,2018,Springer,17,Sim
Early information requirements engineering for target driven data warehouse development,"Prakash, Naveen; Bhardwaj, Hanu; ","The Practice of Enterprise Modeling: 5th IFIP WG 8.1 Working Conference, PoEM 2012, Rostock, Germany, November 7-8, 2012. Proceedings 5",,,188-202,2012,Springer,12,Sim
An approach to engineering the requirements of data warehouses,"Prakash, Naveen; Gosain, Anjana; ",Requirements Engineering,13,1,49-72,2008,Springer,96,Sim
Decisions and decision requirements for data warehouse systems,"Prakash, Naveen; Prakash, Deepika; Gupta, Daya; ","Information Systems Evolution: CAiSE Forum 2010, Hammamet, Tunisia, June 7-9, 2010, Selected Extended Papers 22",,,92-107,2011,Springer,18,Sim
Requirements Engineering for Data Warehousing,"Prakash, Naveen; Prakash, Deepika; Prakash, Naveen; Prakash, Deepika; ",Data Warehouse Requirements Engineering: A Decision Based Approach,,,19-50,2018,Springer,3,Sim
Língua Portuguesa,"Programático, Conteúdo; PROGRAMÁTICO, I–CONTEÚDO; ","Compreensão, interpretação, com domínio",,,,,,2,
PREOrg: um guia para elicitação de requisitos orientado ao desempenho organizacional,"Rebouças, Flaygner Matos; ",,,,,2018,Pós-Graduação em Ciência da Computação,0,
Aferiçao da Qualidade do Código-Fonte com apoio de um ambiente de Data Warehousing na gestao de contrato ágil: um estudo de caso preliminar em uma autarquia da Administraçao Publica Federal,"Rêgo, Hilmer Rodrigues Neri1Guilherme Baufaker; do Santos, Aline Gonçalves; ",,,,,,,0,
Diagnóstico da inovação aberta entre as instituições de pesquisa e as empresas no cenário brasileiro,"Reis, Apoena Mendes Sousa dos; ",,,,,2021,UEMA,0,Sim
Outcomes of the 13th CONTECSI USP--International Conference on Information Systems and Technology Management/Resultados do 13 CONTECSI USP--Congresso Internacional de Gestao da Tecnologia e Sistemas de Informacao; 36th WCARS--World Continuous Auditing and Reporting Systems Symposium; 2 TOI ECA USP--2 Congresso Internacional em Tecnologia e Organizacao da Informacao; 2nd Gaesi Poli USP--International IT meeting.,"Riccio, Edson Luiz; Sakata, Marici Cristine Gramacho; ",Journal of Information Systems & Technology Management,13,2,323-359,2016,TECSI-FEA-USP,0,
Uma metodologia para definição de requisitos em sistemas Data Warehouse,"Rilston Silva Paim, Fabio; ",,,,,2003,Universidade Federal de Pernambuco,5,
A Influência do Professor Ricardo Falbo na Formação de Docentes do Instituto Federal do Espírito Santo,"Ruy, Fabiano Borges; ",Engineering Ontologies & Ontologies for Engineering,,,127,,,0,
Alexandre Xavier Dias Gonçalves,"Sá, Doutor Jorge Vaz Oliveira; ",,,,,2013,,0,
Health economic evaluation in a local level government health care system/Avaliacao economica em Saude na esfera de atencao local a saude.,"Sancho, Leyla Gomes; Vargens, José Muniz Costa; ",Ciência & Saúde Coletiva,,,S1513-S1513,2009,Associacao Brasileira de Pos-Graduacao em Saude Coletiva-ABRASCO,1,
"Uma proposta de coleta e visualização de métricas de custo, tamanho e esforço, em projetos de software ágeis, com apoio de ferramenta Data Warehousing","Santos, Fernando de Souza; ",,,,,2013,,0,
Metodologia e uso de técnica de exploração e análise de dados na construção de Date Warehouse,"SANTOS, Roberto Ângelo Fernandes; ",,,,,2002,Universidade Federal de Pernambuco,5,Apoio
Business intelligence como suporte à tomada de decisão: o estado da arte por meio do ProKnow-C,"Schinaider, Marco Antônio Albertino; Lee, Viviane Nunes Tetzlaff; Junior, Marcos Wagner Jesus Servare; ",Brazilian Journal of Production Engineering,8,2,79-98,2022,,1,Sim
0028/2009-Problemas na Elicitação de Requisitos: Uma visão de pesquisa/literatura,"Serrano, Daniel Braghirolli; Silva, Douglas Machado; Cappelli, Claudia; de Araujo, Renata Mendes; ",RelaTe-DIA,,,,2009,,0,
Engineering the Requirements of Data Warehouses: A Comparative Study of Goal-Oriented Approaches,"Setra, Waffa; Chalal, Rachid; Chouder, Mohamed Lamine; ","Computer Science and Its Applications: 5th IFIP TC 5 International Conference, CIIA 2015, Saida, Algeria, May 20-21, 2015, Proceedings 5",,,254-265,2015,Springer,1,
Implementação de um sistema de Business Intelligence para o suporte à tomada de decisão de um setor de produção,"Silva, Lucas Clemente da; ",,,,,2020,"Florianópolis, SC.",0,
Empirical study to predict the understandability of requirements schemas of data warehouse using requirements metrics,"Singh, Tanu; Kumar, Manoj; ",International Journal of Intelligent Engineering Informatics,9,4,329-354,2021,Inderscience Publishers (IEL),1,Sim
Investigating requirements completeness metrics for requirements schemas using requirements engineering approach of data warehouse: a formal and empirical validation,"Singh, Tanu; Kumar, Manoj; ",Arabian Journal for Science and Engineering,47,8,9527-9546,2022,Springer,1,Sim
From early requirements to late requirements modeling for a data warehouse,"Singh, Yogesh; Gosain, Anjana; Kumar, Manoj; ","2009 Fifth International Joint Conference on INC, IMS and IDC",,,798-804,2009,IEEE,14,Sim
Avaliaçao de Técnicas de Engenharia de Requisitos e de Interaçao Humano-Computador no Processo de Produçao de Aplicaçoes de Business Intelligence,"Soares, Maria Verônica Santos; Melo, Talita Arantes; Manoel, Ed Fernanda Rua Cláudio; Funcionários, Belo Horizonte–MG; ",,,,,,,0,
"Big Data: fundamentos, metodologias e tecnologias","Souza, Glenda Rany Máximo de; ",,,,,2017,,0,
Materialização/utilização eficientes de visões em Data Warehouses.,"SOUZA, Márcio Farias de; ",,,,,1999,Universidade Federal de Campina Grande,2,
Um plano de métricas para monitoramento de projetos scrum,"Spies, Eduardo Henrique; ",,,,,2013,Pontifícia Universidade Católica do Rio Grande do Sul,1,
"Method Support of Information Requirements Analysis for Analytical Information Systems: State of the Art, Practice Requirements, and Research Agenda","Stroh, Florian; Winter, Robert; Wortmann, Felix; ",Business & Information Systems Engineering,3,,33-43,2011,Springer,46,Sim
Diretrizes metodológicas e validação estatística de dados para a construção de data warehouses,"Takecian, Pedro Losco; ",,,,,2014,Universidade de São Paulo,1,
Proposta para documentação de requisitos em projetos de Data Warehouse,"Tissot, Hegler Correa; ",,,,,2004,"Florianópolis, SC",0,
Desenvolvimento de uma solução de BI para empresa de consórcios: o caso da Conceito Consórcios,"Vogado, Marcus Vinicius Sirqueira; ",,,,,2019,,0,
Demand-driven information requirements analysis in data warehousing,"Winter, Robert; Strauch, Bernhard; ",Journal of Data Warehousing,8,1,38-47,2003,,19,Sim
Research directions in requirements engineering,"Cheng, Betty HC; Atlee, Joanne M; ",Future of Software Engineering (FOSE'07),,,285-303,2007,IEEE,956,Sim
